Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
CN10,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,2577.36,1021.26
U3,4049,DIL16,,TOP,-90,1153.06,339.348
U7,4049,DIL16,,TOP,-90,1551.48,339.348
Q1,2N7002,SOT95P230X109-3,Digikey 2N7002NTR-ND,TOP,270,381.89,248.031
Q3,2N7002,SOT95P230X109-3,Digikey 2N7002NTR-ND,TOP,270,2216.54,240.157
Q20,2N7002,SOT95P230X109-3,Digikey 2N7002NTR-ND,TOP,270,2061.02,562.992
R2,100K,RESC2012X50,Digikey P100KZTR-ND,TOP,90,2214.57,88.5827
R3,100K,RESC2012X50,Digikey P100KZTR-ND,TOP,90,381.89,96.4567
R16,100K,RESC2012X50,Digikey P100KZTR-ND,TOP,90,535.433,96.4567
U1,LM2904LVIDDF,SOT65P275X110-8,,TOP,90,422.244,948.819
R21,255k,RESC2012X50,Digikey RT0805DRE07255KL-ND,TOP,270,381.89,783.465
R14,100K,RESC2012X50,Digikey P100KZTR-ND,TOP,90,460.63,783.465
R34,100K,RESC2012X50,Digikey P100KZTR-ND,TOP,90,2213.5,413.386
R33,100K,RESC2012X50,Digikey P100KZTR-ND,TOP,90,842.52,96.4567
R35,100K,RESC2012X50,Digikey P100KZTR-ND,TOP,90,2061.02,412.992
R37,100K,RESC2012X50,Digikey P100KZTR-ND,TOP,90,688.976,96.4567
R38,100K,RESC2012X50,Digikey P100KZTR-ND,TOP,90,2366.14,411.417
R39,100K,RESC2012X50,Digikey P100KZTR-ND,TOP,90,2062.99,88.5827
R40,100K,RESC2012X50,Digikey P100KZTR-ND,TOP,90,2370.08,88.5827
Q23,2N7002,SOT95P230X109-3,Digikey 2N7002NTR-ND,TOP,270,2366.14,562.992
Q24,2N7002,SOT95P230X109-3,Digikey 2N7002NTR-ND,TOP,270,2062.99,240.157
Q25,2N7002,SOT95P230X109-3,Digikey 2N7002NTR-ND,TOP,270,2370.08,240.157
Q2,2N7002,SOT95P230X109-3,Digikey 2N7002NTR-ND,TOP,270,535.433,248.031
U4,DRV8871,SOIC127P600X170-9,,TOP,90,2165.35,1015.75
U6,DRV8871,SOIC127P600X170-9,,TOP,270,1948.82,1015.75
R13,165k,RESC2012X50,Digikey RT0805DRE07165KL-ND,BOT,180,2129.92,1360.76
R17,165k,RESC2012X50,Digikey RT0805DRE07165KL-ND,BOT,180,2129.92,1264.3
R29,165k,RESC2012X50,Digikey RT0805DRE07165KL-ND,BOT,180,2129.92,1553.67
R30,165k,RESC2012X50,Digikey RT0805DRE07165KL-ND,BOT,180,2129.92,1459.18
R18,330k,RESC2012X50,Digikey RT0805DRE07330KL-ND,BOT,180,2311.02,1553.67
R20,330k,RESC2012X50,Digikey RT0805DRE07330KL-ND,BOT,180,2311.02,1461.15
R31,330k,RESC2012X50,Digikey RT0805DRE07330KL-ND,BOT,180,2311.02,1360.76
